,Make,Fuel,Model,Cnt,Emission,year
3068,ABARTH,PETROL,595,3930,162.0,2018
7072,ABARTH,PETROL,595 TURISMO,1282,167.0,2018
7600,ABARTH,PETROL,595 COMPETIZIONE,1156,171.0,2018
10835,ABARTH,PETROL,595 TROFEO,660,177.0,2018
14229,ABARTH,PETROL,595C,408,165.0,2018
16674,ABARTH,PETROL,695 RIVALE,304,171.0,2018
17925,ABARTH,PETROL,595C TURISMO,264,169.0,2018
5087,ABARTH,PETROL,595,2026,162.0,2019
6983,ABARTH,PETROL,595 TURISMO,1306,167.0,2019
7577,ABARTH,PETROL,595 COMPETIZIONE,1162,171.0,2019
16884,ABARTH,PETROL,595C,296,165.0,2019
17923,ABARTH,PETROL,595C TURISMO,264,169.0,2019
12924,ABARTH,PETROL,595 TURISMO,488,166.0,2020
13112,ABARTH,PETROL,595,474,162.0,2020
13627,ABARTH,PETROL,595 COMPETIZIONE,443,170.0,2020
10386,AIWAYS,ELECTRIC,U5,704,0.0,2020
426,ALFA ROMEO,DIESEL,STELVIO,38710,175.0,2018
644,ALFA ROMEO,DIESEL,ALFA GIULIETTA,26895,147.0,2018
857,ALFA ROMEO,DIESEL,GIULIA,19560,144.0,2018
7120,ALFA ROMEO,DIESEL,GIULIETTA,1272,147.0,2018
8812,ALFA ROMEO,DIESEL,ALFA STELVIO,920,177.0,2018
9613,ALFA ROMEO,DIESEL,STELVIO SPECIALE TD AWD AUTO,802,173.0,2018
10745,ALFA ROMEO,DIESEL,ALFA GIULIA,666,149.0,2018
14296,ALFA ROMEO,DIESEL,GIULIA SUPER TD AUTO,404,139.0,2018
19721,ALFA ROMEO,DIESEL,STELVIO MILANO ED TD AWD AUTO,218,173.0,2018
476,ALFA ROMEO,DIESEL,STELVIO,35732,169.0,2019
1034,ALFA ROMEO,DIESEL,ALFA GIULIETTA,15600,148.0,2019
1539,ALFA ROMEO,DIESEL,GIULIA,9702,147.0,2019
5047,ALFA ROMEO,DIESEL,GIULIETTA,2046,148.0,2019
11879,ALFA ROMEO,DIESEL,ALFA STELVIO,562,169.0,2019
14437,ALFA ROMEO,DIESEL,GIULIA SUPER TD AUTO,398,139.0,2019
14660,ALFA ROMEO,DIESEL,STELVIO SPECIALE TD AWD AUTO,386,148.0,2019
19904,ALFA ROMEO,DIESEL,ALFA GIULIA,214,153.0,2019
1274,ALFA ROMEO,DIESEL,STELVIO,12233,166.0,2020
2763,ALFA ROMEO,DIESEL,ALFA GIULIETTA,4551,146.0,2020
3515,ALFA ROMEO,DIESEL,GIULIA,3339,145.0,2020
12894,ALFA ROMEO,DIESEL,GIULIETTA,489,146.0,2020
19953,ALFA ROMEO,DIESEL,ALFA STELVIO,213,167.0,2020
1212,ALFA ROMEO,PETROL,ALFA GIULIETTA,13175,176.0,2018
1481,ALFA ROMEO,PETROL,STELVIO,10184,216.0,2018
2022,ALFA ROMEO,PETROL,GIULIA,6862,192.0,2018
3874,ALFA ROMEO,PETROL,GIULIETTA,2952,176.0,2018
6272,ALFA ROMEO,PETROL,STELVIO QUADRIFOGLIO,1520,261.0,2018
6340,ALFA ROMEO,PETROL,GIULIA VELOCE TB AUTO,1498,189.0,2018
7619,ALFA ROMEO,PETROL,GIULIA QUADRIFOGLIO,1154,241.0,2018
9370,ALFA ROMEO,PETROL,ALFA STELVIO,838,215.0,2018
11466,ALFA ROMEO,PETROL,GIULIETTA SPORT TB,600,179.0,2018
