Make,Model,Cnt
ALFA ROMEO,ALFA GIULIETTA,74274
ALFA ROMEO,GIULIA,48155
ALFA ROMEO,STELVIO,109012
ALPINE,A110,12192
AUDI,A1,41520
AUDI,A1 SPORT 30 TFSI,10919
AUDI,A1 SPORT NAV TFSI,12588
AUDI,A1 SPORTBACK,181948
AUDI,A3,32659
AUDI,A3 CABRIOLET,20720
AUDI,A3 LIMOUSINE,70265
AUDI,A3 SPORTBACK,314923
AUDI,A4,25196
AUDI,A4 ALLROAD QUATTRO,27081
AUDI,A4 AVANT,301398
AUDI,A4 LIMOUSINE,52654
AUDI,A5 CABRIOLET,19336
AUDI,A5 SPORTBACK,99105
AUDI,A6 ALLROAD QUATTRO,24764
AUDI,A6 AVANT,185017
AUDI,A6 LIMOUSINE,63020
AUDI,A6 S LINE 40 TDI S-A,16536
AUDI,A7 SPORTBACK,23025
AUDI,A8,11711
AUDI,AUDI E-TRON,25016
AUDI,E-TRON 50,15147
AUDI,Q2,279438
AUDI,Q3,266359
AUDI,Q3 SPORTBACK,35829
AUDI,Q5,209292
AUDI,Q5 S LINE TDI QUATTRO S-A,16306
AUDI,Q7,44301
AUDI,Q8,41519
AUDI,RS 3 SPORTBACK,10188
AUDI,S3 SPORTBACK,10057
AUDI,SQ5,20243
AUDI,SQ7,14797
AUDI,TT COUPE,12213
BMW,116D,75294
BMW,116I,27130
BMW,118D,60370
BMW,118I,172478
BMW,118I M SPORT AUTO,10273
BMW,118I SPORT,12591
BMW,120D,10660
BMW,120D XDRIVE,10306
BMW,120I,24829
BMW,216D ACTIVE TOURER,13698
BMW,218D,19170
BMW,218D ACTIVE TOURER,13206
BMW,218D GRAN TOURER,11584
BMW,218I,36262
BMW,218I ACTIVE TOURER,25523
BMW,218I GRAN TOURER,10970
BMW,220I,17855
BMW,225XE IPERFORMANCE,40666
BMW,318D,68294
BMW,318I,19405
BMW,320D,90156
BMW,320D M SPORT AUTO,10051
BMW,320D XDRIVE,60363
BMW,320I,46061
BMW,320I M SPORT AUTO,10032
BMW,320I XDRIVE,13246
BMW,330E,26701
BMW,330E M SPORT AUTO,10827
BMW,330I,23797
BMW,420D,24227
BMW,420I,21928
BMW,520D,88716
BMW,520D M SPORT AUTO,18380
BMW,520D XDRIVE,45767
BMW,520I,17956
BMW,530D,19187
BMW,530D XDRIVE,37902
BMW,530E IPERFORMANCE,32924
BMW,530E M SPORT AUTO,14482
BMW,530I,11139
BMW,530I XDRIVE,12276
BMW,540D XDRIVE,13654
BMW,540I XDRIVE,16507
BMW,I3,68511
BMW,I3S,32291
BMW,M140I SHADOW EDITION AUTO,11123
BMW,M2 COMPETITION,17137
BMW,M4,11077
BMW,SERIE 1,39571
BMW,SERIE 2,24580
BMW,SERIE 3,14467
BMW,SERIE X,105034
BMW,X1,17120
BMW,X1 SDRIVE 18D,19012
BMW,X1 SDRIVE 18I,30874
BMW,X1 SDRIVE 20I,19099
BMW,X1 SDRIVE16D,26930
BMW,X1 SDRIVE18D,70881
BMW,X1 SDRIVE18I,51191
BMW,X1 SDRIVE20I,24287
BMW,X1 XDRIVE 18D,12328
BMW,X1 XDRIVE 20D,20113
BMW,X1 XDRIVE 20I,15388
BMW,X1 XDRIVE18D,26964
BMW,X1 XDRIVE20D,23075
BMW,X2 SDRIVE18D,28437
BMW,X2 SDRIVE18I,21270
BMW,X2 SDRIVE20I,12424
BMW,X2 XDRIVE20D,16139
BMW,X3 M40I,13227
BMW,X3 SDRIVE18D,10425
BMW,X3 XDRIVE 20D,37720
BMW,X3 XDRIVE 20I,10012
BMW,X3 XDRIVE 30D,20969
BMW,X3 XDRIVE20D,79476
BMW,X3 XDRIVE20D M SPORT AUTO,17357
BMW,X3 XDRIVE20I,20404
BMW,X3 XDRIVE30D,15571
BMW,X4 XDRIVE20D,22031
BMW,X5 M50D,18365
BMW,X5 XDRIVE 30D,21467
BMW,X5 XDRIVE30D,42174
BMW,X5 XDRIVE30D M SPORT AUTO,15102
BMW,X5 XDRIVE45E,11933
CHRYSLER,COMPASS,77654
CHRYSLER,RENEGADE,76320
CITROEN,BERLINGO,187319
CITROEN,C-ELYS,10832
CITROEN,C-ELYSEE,18907
CITROEN,C1,205387
CITROEN,C3,917072
CITROEN,C3 AIRCROSS,420693
CITROEN,C3 AIRCROSS FLAIR PURETECH S/S,10060
CITROEN,C3 FEEL PURETECH,14154
CITROEN,C3 FLAIR PURETECH,17636
CITROEN,C4,24483
CITROEN,C4 CACTUS,189160
CITROEN,C4 PICASSO,74361
CITROEN,C4 SPACETOURER,128957
CITROEN,C5 AIRCROSS,183563
CITROEN,JUMPY SPACE TOURER,29151
CITROEN,JUMPY SPACETOURER,20530
CITROEN,NUEVO,73463
CITROEN,SUV,18030
DACIA,DOKKER,189045
DACIA,DUSTER,932258
DACIA,DUSTER COMFORT TCE 4X2,10145
DACIA,LODGY,132615
DACIA,LOGAN,258196
DACIA,SANDERO,984243
DACIA,SANDERO STEPWAY COMFORT TCE,10529
DS,7 CROSSBACK,12558
DS,DS 3,26169
DS,DS 3 CROSSBACK,30282
DS,DS 7 CROSSBACK,86433
FIAT,500,162830
FIAT,500 ABARTH,18701
FIAT,500 LOUNGE,51802
FIAT,500C,10238
FIAT,500L,23933
FIAT,500X,104074
