,Unnamed: 0,Make,Fuel,Model,Cnt,Emission,year
38,1212,ALFA ROMEO,PETROL,ALFA GIULIETTA,13175,176.0,2018
26,1034,ALFA ROMEO,DIESEL,ALFA GIULIETTA,15600,148.0,2019
17,644,ALFA ROMEO,DIESEL,ALFA GIULIETTA,26895,147.0,2018
18,857,ALFA ROMEO,DIESEL,GIULIA,19560,144.0,2018
39,1481,ALFA ROMEO,PETROL,STELVIO,10184,216.0,2018
33,1274,ALFA ROMEO,DIESEL,STELVIO,12233,166.0,2020
25,476,ALFA ROMEO,DIESEL,STELVIO,35732,169.0,2019
16,426,ALFA ROMEO,DIESEL,STELVIO,38710,175.0,2018
363,1043,AUDI,PETROL,A1,15440,134.0,2018
424,901,AUDI,PETROL,A1,18520,130.0,2019
364,1242,AUDI,PETROL,A1 SPORT NAV TFSI,12588,134.0,2018
584,604,AUDI,PETROL,A1 SPORTBACK,28714,136.0,2020
358,286,AUDI,PETROL,A1 SPORTBACK,57099,135.0,2018
418,148,AUDI,PETROL,A1 SPORTBACK,87793,135.0,2019
100,1062,AUDI,DIESEL,A3 LIMOUSINE,15062,138.0,2018
425,950,AUDI,PETROL,A3 LIMOUSINE,17590,145.0,2019
361,943,AUDI,PETROL,A3 LIMOUSINE,17752,141.0,2018
588,1238,AUDI,PETROL,A3 SPORTBACK,12643,134.0,2020
89,562,AUDI,DIESEL,A3 SPORTBACK,30270,142.0,2017
149,325,AUDI,DIESEL,A3 SPORTBACK,51368,143.0,2019
357,251,AUDI,PETROL,A3 SPORTBACK,62918,144.0,2018
93,247,AUDI,DIESEL,A3 SPORTBACK,64202,140.0,2018
421,236,AUDI,PETROL,A3 SPORTBACK,66714,147.0,2019
107,1470,AUDI,DIESEL,A4,10298,161.0,2018
102,1191,AUDI,DIESEL,A4 ALLROAD QUATTRO,13458,161.0,2018
589,1402,AUDI,PETROL,A4 AVANT,11003,159.0,2020
422,515,AUDI,PETROL,A4 AVANT,32846,163.0,2019
253,498,AUDI,DIESEL,A4 AVANT,34157,147.0,2020
359,440,AUDI,PETROL,A4 AVANT,37670,163.0,2018
91,139,AUDI,DIESEL,A4 AVANT,90256,151.0,2018
145,128,AUDI,DIESEL,A4 AVANT,95466,154.0,2019
155,1291,AUDI,DIESEL,A4 LIMOUSINE,12102,148.0,2019
101,1089,AUDI,DIESEL,A4 LIMOUSINE,14671,142.0,2018
362,991,AUDI,PETROL,A5 SPORTBACK,16478,155.0,2018
423,899,AUDI,PETROL,A5 SPORTBACK,18548,165.0,2019
153,723,AUDI,DIESEL,A5 SPORTBACK,23624,157.0,2019
97,668,AUDI,DIESEL,A5 SPORTBACK,25906,153.0,2018
104,1295,AUDI,DIESEL,A6 ALLROAD QUATTRO,12022,178.0,2018
99,965,AUDI,DIESEL,A6 AVANT,17071,180.0,2018
255,854,AUDI,DIESEL,A6 AVANT,19612,166.0,2020
96,349,AUDI,DIESEL,A6 AVANT,48237,194.0,2018
146,170,AUDI,DIESEL,A6 AVANT,81110,172.0,2019
105,1320,AUDI,DIESEL,A6 LIMOUSINE,11804,198.0,2018
103,1197,AUDI,DIESEL,A6 LIMOUSINE,13373,179.0,2018
152,688,AUDI,DIESEL,A6 LIMOUSINE,24988,164.0,2019
156,1300,AUDI,DIESEL,A6 S LINE 40 TDI S-A,11964,152.0,2019
326,739,AUDI,ELECTRIC,AUDI E-TRON,23177,0.0,2019
331,1462,AUDI,ELECTRIC,E-TRON 50,10387,0.0,2020
257,1024,AUDI,DIESEL,Q2,15796,155.0,2020
585,693,AUDI,PETROL,Q2,24705,147.0,2020
150,406,AUDI,DIESEL,Q2,40894,154.0,2019
94,322,AUDI,DIESEL,Q2,51931,153.0,2018
356,211,AUDI,PETROL,Q2,71924,144.0,2018
420,198,AUDI,PETROL,Q2,74188,152.0,2019
256,882,AUDI,DIESEL,Q3,18954,161.0,2020
586,800,AUDI,PETROL,Q3,20975,167.0,2020
360,494,AUDI,PETROL,Q3,34511,160.0,2018
95,337,AUDI,DIESEL,Q3,49467,142.0,2018
148,290,AUDI,DIESEL,Q3,56783,163.0,2019
419,169,AUDI,PETROL,Q3,81324,177.0,2019
587,1192,AUDI,PETROL,Q3 SPORTBACK,13456,172.0,2020
258,1081,AUDI,DIESEL,Q3 SPORTBACK,14733,166.0,2020
365,1392,AUDI,PETROL,Q5,11139,204.0,2018
254,807,AUDI,DIESEL,Q5,20752,185.0,2020
147,180,AUDI,DIESEL,Q5,78519,196.0,2019
92,159,AUDI,DIESEL,Q5,83832,194.0,2018
106,1364,AUDI,DIESEL,Q5 S LINE TDI QUATTRO S-A,11370,194.0,2018
154,912,AUDI,DIESEL,Q7,18294,225.0,2019
98,850,AUDI,DIESEL,Q7,19683,224.0,2018
151,686,AUDI,DIESEL,Q8,25076,225.0,2019
366,1406,AUDI,PETROL,SQ5,10918,243.0,2018
1113,1497,BMW,DIESEL,116D,10076,121.0,2019
1350,1269,BMW,DIESEL,116D,12273,121.0,2020
1095,818,BMW,DIESEL,116D,20493,145.0,2019
762,561,BMW,DIESEL,116D,30422,145.0,2018
1557,1045,BMW,PETROL,116I,15400,163.0,2018
1351,1310,BMW,DIESEL,118D,11877,130.0,2020
1096,955,BMW,DIESEL,118D,17292,147.0,2019
765,780,BMW,DIESEL,118D,21608,147.0,2018
1790,680,BMW,PETROL,118I,25301,141.0,2019
2043,467,BMW,PETROL,118I,36306,140.0,2020
1788,340,BMW,PETROL,118I,48899,171.0,2019
1554,296,BMW,PETROL,118I,55158,170.0,2018
1558,1148,BMW,PETROL,120I,13896,173.0,2018
