Make,Fuel,Typ,Model,Cnt,Wltp,NEDC,year
RENAULT,Petrol,R,CLIO,401080,134.0,114.0,2018
CITROEN,petrol,S,C3,324540,135.0,106.0,2019
DACIA,petrol,SD,SANDERO,321984,146.0,124.0,2019
PEUGEOT,Petrol,C,208,315989,133.0,106.0,2018
DACIA,Petrol,SD,SANDERO,308575,147.0,118.0,2018
RENAULT,petrol,R,CAPTUR,306080,143.0,124.0,2019
RENAULT,petrol,R,CLIO,301046,134.0,113.0,2019
PEUGEOT,petrol,C,208,295835,133.0,110.0,2019
RENAULT,Diesel,R,CLIO,283894,128.0,90.0,2018
FIAT,petrol,312,PANDA,280851,144.0,118.0,2019
RENAULT,Petrol,R,CAPTUR,273238,140.0,120.0,2018
FORD,PETROL,JHH,FIESTA,266176,135.0,108.0,2018
SKODA,petrol,5J,FABIA,264047,127.0,107.0,2019
Citroen,Petrol,S,C3,262563,134.0,109.0,2018
VOLKSWAGEN,PETROL,AW,POLO,257226,126.0,105.0,2018
FORD,petrol,JHH,FIESTA,249353,135.0,115.0,2019
SKODA,Petrol,5J,FABIA,248606,129.0,105.0,2018
RENAULT,DIESEL,R,CLIO,228479,,84.0,2017
PEUGEOT,Petrol,C,2008,223079,146.0,111.0,2018
PEUGEOT,DIESEL,M,3008,221258,148.0,111.0,2018
RENAULT,Petrol,R,CLIO,211019,,113.0,2017
FORD,petrol,DEH,Focus,209341,141.0,119.0,2019
VOLKSWAGEN,petrol,AW,POLO,207752,129.0,108.0,2019
PEUGEOT,petrol,C,2008,203901,144.0,118.0,2019
OPEL,PETROL,S-D,CORSA-E,193698,151.0,125.0,2018
OPEL,petrol,S-D,CORSA-E,193316,150.0,129.0,2019
Toyota,PETROL,"AX1T(EU,M)",TOYOTA C-HR,191735,114.0,92.0,2018
PEUGEOT,diesel,M,3008,191194,145.0,109.0,2019
SKODA,diesel,5E,OCTAVIA,190525,141.0,115.0,2019
TOYOTA,PETROL,XP13M(a),TOYOTA YARIS HYBRID,187708,109.0,82.0,2018
FIAT,petrol,312,FIAT 500,187501,137.0,114.0,2019
PEUGEOT,Petrol,C,208,185732,132.0,104.0,2017
VOLKSWAGEN VW,petrol,AU,GOLF,184626,149.0,126.0,2019
DACIA,Diesel,SR,DUSTER,179119,144.0,117.0,2018
SKODA,Diesel,5E,OCTAVIA,178959,137.0,113.0,2018
"VOLKSWAGEN, VW",PETROL,AU,GOLF,176872,141.0,121.0,2018
DACIA,diesel,SR,DUSTER,176084,142.0,116.0,2019
FIAT - INNOCENTI,PETROL,312,PANDA,175748,145.0,121.0,2018
Dacia,petrol,SR,DUSTER,175304,168.0,144.0,2019
RENAULT,Petrol,AH,TWINGO,172548,133.0,112.0,2018
PEUGEOT,Diesel,L,308,170064,129.0,97.0,2018
RENAULT,diesel,R,CLIO,168310,128.0,104.0,2019
RENAULT,petrol,AH,TWINGO,164460,125.0,108.0,2019
SKODA,petrol,5E,OCTAVIA,162245,143.0,120.0,2019
FORD,petrol,JK8,EcoSport,159291,151.0,124.0,2019
PEUGEOT,diesel,L,308,156897,127.0,97.0,2019
VOLKSWAGEN,Diesel,5N,TIGUAN,156880,161.0,132.0,2018
SKODA,PETROL,5E,OCTAVIA,156181,144.0,122.0,2018
PEUGEOT,petrol,M,3008,154740,159.0,120.0,2019
CITROEN,PETROL,S,C3,153486,,107.0,2017
RENAULT,Diesel,RFB,MEGANE,151454,119.0,97.0,2018
SEAT,petrol,KJ,ARONA,144980,133.0,113.0,2019
TOYOTA,PETROL,AB1,TOYOTA AYGO,142731,114.0,93.0,2018
PEUGEOT,PETROL,M,3008,141928,160.0,122.0,2018
SEAT,petrol,KJ,IBIZA,141904,127.0,108.0,2019
RENAULT,PETROL,R,CAPTUR,141760,,119.0,2017
FIAT,Petrol,312,FIAT 500,141160,144.0,111.0,2018
RENAULT,petrol,RFB,MEGANE,140840,145.0,128.0,2019
"VOLKSWAGEN, VW",PETROL,AW,POLO,140258,129.0,107.0,2018
SEAT,Petrol,KJ,IBIZA,139829,126.0,108.0,2018
VOLKSWAGEN,PETROL,AU,GOLF,138312,136.0,116.0,2018
RENAULT,Diesel,RFB,MEGANE,132867,,96.0,2017
VOLKSWAGEN VW,petrol,AW,POLO,132551,134.0,112.0,2019
VOLKSWAGEN VW,diesel,5N,TIGUAN,132217,175.0,139.0,2019
SUZUKI,petrol,LY,VITARA,131785,157.0,132.0,2019
TOYOTA,PETROL,XP13M(A),TOYOTA YARIS,131621,133.0,107.0,2018
DACIA,Petrol,SD,SANDERO,131494,,115.0,2017
PEUGEOT,Diesel,L,308,130896,133.0,94.0,2017
PEUGEOT,Petrol,C,2008,130562,,108.0,2017
CITROEN,Petrol,2,C3 AIRCROSS,130394,150.0,118.0,2018
RENAULT,Diesel,R,CAPTUR,129548,139.0,100.0,2018
FORD,petrol,DM2 ,KUGA,128221,189.0,170.0,2019
CITROEN,petrol,2,C3 AIRCROSS,127594,148.0,117.0,2019
SEAT,Petrol,KJ,ARONA,127453,133.0,112.0,2018
TOYOTA,PETROL,HE15U(A),TOYOTA AURIS,126883,116.0,91.0,2018
FORD,Petrol,JK8,ECOSPORT,125162,150.0,122.0,2018
PEUGEOT,Diesel,C,208,124813,110.0,89.0,2018
RENAULT,PETROL,RJA,CLIO,124006,119.0,103.0,2020
PEUGEOT,DIESEL,M,3008,122990,143.0,109.0,2017
RENAULT,PETROL,RFB,MEGANE,122945,142.0,125.0,2018
VOLKSWAGEN,petrol,A1,T-ROC,122718,150.0,123.0,2019
PEUGEOT,petrol,L,308,122353,138.0,112.0,2019
PEUGEOT,Diesel,C,208,121276,,86.0,2017
OPEL,PETROL,U,CORSA,121006,125.0,95.0,2020
VOLKSWAGEN,diesel,5N,TIGUAN,120452,165.0,133.0,2019
FIAT,PETROL,312,PANDA,118816,134.0,106.0,2020
CITROEN,PETROL,S,C3,118412,130.0,98.0,2020
NISSAN,petrol,J11,NISSAN QASHQAI,116211,159.0,129.0,2019
RENAULT,diesel,RFB,MEGANE,115928,122.0,104.0,2019
VOLKSWAGEN VW,diesel,3C,PASSAT,114866,149.0,118.0,2019
KIA,petrol,CD,Ceed,114763,145.0,132.0,2019
PEUGEOT,PETROL,U,208,114483,125.0,97.0,2020
RENAULT,petrol,RFE,KADJAR,114412,150.0,134.0,2019
FORD,Petrol,DYB,FOCUS,113993,139.0,117.0,2018
SKODA,Petrol,5J,FABIA,113556,,106.0,2017
TOYOTA,petrol,XP13M(a)       ,TOYOTA YARIS HYBRID,113315,109.0,85.0,2019
NISSAN,Diesel,J11,NISSAN QASHQAI,112761,142.0,106.0,2018
"VOLKSWAGEN, VW",DIESEL,3C,PASSAT,112050,148.0,118.0,2018
RENAULT,petrol,RJA,CLIO,111714,119.0,102.0,2019
FORD,DIESEL,DM2,KUGA,111078,186.0,131.0,2018
PEUGEOT,Petrol,L,308,109329,137.0,117.0,2018
TOYOTA,petrol,AB1,TOYOTA AYGO,109315,113.0,91.0,2019
KIA,PETROL,JA,PICANTO,108772,129.0,103.0,2018
VOLKSWAGEN VW,petrol,A1,T-ROC,108608,155.0,127.0,2019
TOYOTA,petrol,XP13M(a),TOYOTA YARIS,108322,133.0,111.0,2019
Dacia,Petrol,SR,DUSTER,105867,177.0,144.0,2018
VOLKSWAGEN,PETROL,A1,T-ROC,105340,144.0,121.0,2018
FORD,diesel,DEH,Focus,104019,130.0,104.0,2019
SEAT,Petrol,5F,LEON,103660,141.0,121.0,2018
DACIA,Diesel,SD,DUSTER,102815,,120.0,2017
SEAT,petrol,5F,LEON,102431,140.0,118.0,2019
KIA,petrol,JA,PICANTO,102309,128.0,112.0,2019
SKODA,Diesel,5E,OCTAVIA,102078,,110.0,2017
NISSAN,PETROL,J11,NISSAN QASHQAI,101801,159.0,129.0,2018
FORD,PETROL,DM2,KUGA,101546,192.0,159.0,2018
HYUNDAI,petrol,IA,I10,100949,133.0,119.0,2019
RENAULT,Diesel,RFA,SCENIC,100413,145.0,107.0,2018
RENAULT,Diesel,RFE,KADJAR,100351,134.0,106.0,2018
Hyundai,PETROL,IA,i10,99882,132.0,112.0,2018
PEUGEOT,Diesel,C,2008,99483,132.0,96.0,2018
SUZUKI,PETROL,LY,VITARA,98808,157.0,127.0,2018
RENAULT,Petrol,AH,TWINGO,97792,,105.0,2017
SKODA,petrol,NU,KAROQ,97318,160.0,127.0,2019
"VOLKSWAGEN, VW",DIESEL,5N,TIGUAN,96804,165.0,139.0,2018
SKODA,diesel,NS,KODIAQ,96711,183.0,145.0,2019
VOLKSWAGEN,petrol,AU,GOLF,96375,138.0,115.0,2019
RENAULT,DIESEL,RFA,SCENIC,95951,,108.0,2017
VOLKSWAGEN,Petrol,6R,POLO,95862,,109.0,2017
Audi,diesel,B8,A4 Avant,95466,154.0,122.0,2019
PEUGEOT,diesel,C,208,95347,118.0,91.0,2019
VOLKSWAGEN,petrol,C1,T-CROSS,95086,137.0,113.0,2019
OPEL,petrol,P7 MONOCAB C,CROSSLAND X,94157,145.0,115.0,2019
KIA,petrol,YB,STONIC,94077,140.0,127.0,2019
KIA,Diesel,QLE,SPORTAGE,93062,163.0,128.0,2018
PEUGEOT,diesel,C                   ,2008,92553,131.0,96.0,2019
PEUGEOT,petrol,P,108,92138,113.0,89.0,2019
