Brand,Model,Cnt
ABARTH,595,6430
ALFA ROMEO,ALFA GIULIETTA,84733
ALFA ROMEO,ALFA MITO,17265
ALFA ROMEO,GIULIA,59190
ALFA ROMEO,GIULIETTA,15413
ALFA ROMEO,MITO,6972
ALFA ROMEO,STELVIO,116902
ALPINE,A110,12316
AUDI,A1,55762
AUDI,A1 CITYCARVER,6181
AUDI,A1 S LINE,43057
AUDI,A1 SPORT 30,14754
AUDI,A1 SPORT NAV,16458
AUDI,A1 SPORTBACK,228936
AUDI,A3,52002
AUDI,A3 40 E-TRON,7675
AUDI,A3 CABRIOLET,27020
AUDI,A3 LIMOUSINE,83999
AUDI,A3 S LINE,62228
AUDI,A3 SE TECHNIK,12189
AUDI,A3 SPORT 30,5420
AUDI,A3 SPORT 35,8001
AUDI,A3 SPORT TFSI,7252
AUDI,A3 SPORTBACK,332505
AUDI,A3 SPORTBACK E-TRON,6242
AUDI,A3 SPORTBACK G-TRON,9880
AUDI,A4,26230
AUDI,A4 ALLROAD QUATTRO,32489
AUDI,A4 AVANT,337376
AUDI,A4 AVANT G-TRON,5447
AUDI,A4 LIMOUSINE,69510
AUDI,A4 S LINE,41158
AUDI,A5,10098
AUDI,A5 CABRIOLET,21532
AUDI,A5 COUPE,14109
AUDI,A5 S LINE,37683
AUDI,A5 SPORTBACK,118033
AUDI,A6,8499
AUDI,A6 ALLROAD QUATTRO,25843
AUDI,A6 AVANT,198613
AUDI,A6 LIMOUSINE,73637
AUDI,A6 S LINE,30245
AUDI,A6 SPORT 40,5957
AUDI,A7 S LINE,6461
AUDI,A7 SPORTBACK,27667
AUDI,A8,14614
AUDI,E-TRON,31046
AUDI,E-TRON 50,15147
AUDI,E-TRON 55,8575
AUDI,Q2,323562
AUDI,Q2 S LINE,36311
AUDI,Q2 SPORT 30,17488
AUDI,Q2 SPORT 35,6913
AUDI,Q2 SPORT TFSI,9504
AUDI,Q3,297612
AUDI,Q3 S LINE,49303
AUDI,Q3 SPORT 35,10042
AUDI,Q3 SPORTBACK,35829
AUDI,Q5,237331
AUDI,Q5 50 TFSI,6573
AUDI,Q5 55 TFSI,7232
AUDI,Q5 S LINE,43233
AUDI,Q5 S LN,5509
AUDI,Q7,54246
AUDI,Q7 S LINE,17838
AUDI,Q8,41894
AUDI,Q8 S LINE,5128
AUDI,RS 3 SPORTBACK,13428
AUDI,RS3 LIMOUSINE,5485
AUDI,RS3 SPORTBACK,5861
AUDI,RS4 AVANT,7368
AUDI,S3 BLACK ED,9176
AUDI,S3 SPORTBACK,12243
AUDI,S4 AVANT,5676
AUDI,S5 SPORTBACK,5330
AUDI,S5 TFSI QUATTRO,5172
AUDI,S6 AVANT,11220
AUDI,SQ5,21827
AUDI,SQ7,17463
AUDI,SQ8,6328
AUDI,TT COUPE,15004
AUDI,TT ROADSTER,8964
AUDI,TT S LINE,12348
BMW,116D,85872
BMW,116D EFFICIENT DYNAMICS,8368
BMW,116D M SPORT,5848
BMW,116D SE BUSINESS,5066
BMW,116I,30076
BMW,118D,63512
BMW,118D M SPORT,6576
BMW,118I,179356
BMW,118I M SPORT,32618
BMW,118I SPORT,12591
BMW,118I SPORT AUTO,5888
BMW,120D,11426
BMW,120D XDRIVE,10872
BMW,120I,25963
BMW,216D,9245
BMW,216D ACTIVE TOURER,18645
BMW,216D GRAN TOURER,11594
BMW,218D,20546
BMW,218D ACTIVE TOURER,14982
BMW,218D GRAN TOURER,15167
BMW,218D M SPORT,5106
BMW,218I,38268
BMW,218I ACTIVE TOURER,29177
BMW,218I GRAN TOURER,12642
BMW,218I M SPORT,13829
BMW,220D,8529
BMW,220I,18951
BMW,220I ACTIVE TOURER,9578
BMW,220I GRAN TOURER,5857
BMW,225XE IPERFORMANCE,42920
BMW,316D,11483
BMW,318D,80106
BMW,318I,23329
BMW,320D,95280
BMW,320D EFFICIENT DYNAMICS,7326
BMW,320D M SPORT,19587
BMW,320D XDRIVE,62953
BMW,320I,50185
BMW,320I M SPORT,15855
BMW,320I XDRIVE,14086
BMW,330D,7621
BMW,330D XDRIVE,10287
BMW,330E,27028
BMW,330E IPERFORMANCE,6778
BMW,330E M SPORT,17896
BMW,330I,24784
BMW,330I XDRIVE,9198
BMW,418D,9812
BMW,420D,31538
BMW,420D GRAN COUPE,7562
BMW,420D M SPORT,6618
BMW,420D XDRIVE,7580
BMW,420I,24838
BMW,420I GRAN COUPE,8273
BMW,420I M SPORT,6381
BMW,430I,10122
BMW,430I XDRIVE,5741
BMW,440I,7089
BMW,440I XDRIVE,6989
BMW,518D,6205
BMW,520D,100469
BMW,520D M SPORT,21395
BMW,520D XDRIVE,49309
BMW,520I,19274
BMW,520I M SPORT,5800
BMW,525D,5254
BMW,530D,21107
BMW,530D XDRIVE,40164
BMW,530E IPERFORMANCE,35856
BMW,530E M SPORT,14510
BMW,530E XDRIVE IPERFORMANCE,5156
BMW,530I,12755
BMW,530I XDRIVE,13712
BMW,540D XDRIVE,14106
BMW,540I XDRIVE,17899
BMW,630D XDRIVE,6139
BMW,730D XDRIVE,6532
BMW,740D XDRIVE,5131
BMW,840D XDRIVE,5931
BMW,I3,70768
BMW,I3S,32907
BMW,I8,5160
BMW,M140I,5326
BMW,M140I SHADOW EDITION,11399
BMW,M2,10497
BMW,M2 COMPETITION,17137
BMW,M4,12697
BMW,M4 COMPETITION PACKAGE,6765
BMW,M5,5166
BMW,M550D XDRIVE,7379
BMW,M850I XDRIVE,6962
BMW,SERIE 1,62318
BMW,SERIE 2,48439
BMW,SERIE 3,25516
BMW,SERIE 4,16569
BMW,SERIE 5,17538
BMW,SERIE I,13909
BMW,SERIE X,153503
BMW,X1,24450
BMW,X1 SDRIVE 18D,19732
BMW,X1 SDRIVE 18I,30948
BMW,X1 SDRIVE 20I,19099
BMW,X1 SDRIVE16D,34716
BMW,X1 SDRIVE18D,80369
BMW,X1 SDRIVE18I,58931
BMW,X1 SDRIVE20I,26819
BMW,X1 SDRIVE20I XLINE,5545
BMW,X1 XDRIVE 18D,12454
BMW,X1 XDRIVE 20D,20223
BMW,X1 XDRIVE 20I,15426
BMW,X1 XDRIVE18D,29474
BMW,X1 XDRIVE20D,24517
BMW,X1 XDRIVE20D SPORT,5630
BMW,X1 XDRIVE20I,12331
BMW,X1 XDRIVE20I XLINE,5374
BMW,X1 XDRIVE25E,6326
BMW,X2,11167
BMW,X2 SDRIVE 18I,9762
BMW,X2 SDRIVE 20I,8588
BMW,X2 SDRIVE16D,7424
BMW,X2 SDRIVE18D,28437
BMW,X2 SDRIVE18I,21322
BMW,X2 SDRIVE20I,12424
BMW,X2 XDRIVE 20D,9548
BMW,X2 XDRIVE20D,16139
BMW,X2 XDRIVE20D M,5993
BMW,X3,11495
BMW,X3 M40D,8651
BMW,X3 M40I,13396
BMW,X3 SDRIVE18D,12471
BMW,X3 XDRIVE 20D,38332
BMW,X3 XDRIVE 20I,10108
BMW,X3 XDRIVE 30D,21115
BMW,X3 XDRIVE 30I,7802
BMW,X3 XDRIVE20D,84882
BMW,X3 XDRIVE20D G01,6242
BMW,X3 XDRIVE20D M,18687
BMW,X3 XDRIVE20I,21504
BMW,X3 XDRIVE30D,16065
BMW,X3 XDRIVE30D M,5706
BMW,X3 XDRIVE30E,5331
BMW,X3 XDRIVE30I,7406
BMW,X4,6259
BMW,X4 M40D,6966
BMW,X4 M40I,5674
BMW,X4 XDRIVE 20D,5745
BMW,X4 XDRIVE20D,31305
BMW,X4 XDRIVE20D M,5412
BMW,X4 XDRIVE20I,6361
BMW,X5 M50D,19210
BMW,X5 XDRIVE 30D,21761
BMW,X5 XDRIVE25D,9568
BMW,X5 XDRIVE30D,44578
BMW,X5 XDRIVE30D M,15936
BMW,X5 XDRIVE40I,7433
BMW,X5 XDRIVE45E,11957
BMW,X6 M50D,5006
BMW,X6 XDRIVE30D,10023
BMW,Z4 M40I,8554
BMW,Z4 SDRIVE20I,5928
CHEVROLET,CAMARO,6729
CHRYSLER,COMPASS,77654
CHRYSLER,RENEGADE,83783
CITROEN,BERLINGO,231250
CITROEN,C-ELYS,10832
CITROEN,C-ELYSEE,31240
CITROEN,C-ELYSSEE,154650
CITROEN,C-ZERO,7352
CITROEN,C1,264709
CITROEN,C1 FEEL,7932
CITROEN,C1 FLAIR,6979
CITROEN,C3,1154934
CITROEN,C3 AIRCROSS,442397
CITROEN,C3 AIRCROSS FEEL,12964
CITROEN,C3 AIRCROSS FLAIR,30092
CITROEN,C3 FEEL PURETECH,16574
CITROEN,C3 FLAIR NAV,5736
CITROEN,C3 FLAIR PURETECH,31135
CITROEN,C3 PICASSO,21224
CITROEN,C4,109390
CITROEN,C4 AIRCROSS,6302
CITROEN,C4 CACTUS,245215
CITROEN,C4 CACTUS FEEL,5194
CITROEN,C4 CACTUS FLAIR,15435
CITROEN,C4 GR PICASSO,6718
CITROEN,C4 GR STOURER,13556
CITROEN,C4 PICASSO,178956
CITROEN,C4 SPACETOURER,129358
CITROEN,C5,7670
CITROEN,C5 AIRCROSS,184010
CITROEN,C5 AIRCROSS FLAIR,18522
CITROEN,DS 3,5530
CITROEN,DS 7 CROSSBACK,9776
CITROEN,GRAND,7981
CITROEN,JUMPY SPACE TOURER,29503
CITROEN,JUMPY SPACETOURER,23629
CITROEN,NUEVO,80699
CITROEN,NUEVO BERLINGO TALLA,6864
CITROEN,SUV,18030
DACIA,DOKKER,221110
DACIA,DUSTER,1047132
DACIA,DUSTER COMFORT SCE,7514
DACIA,DUSTER COMFORT TCE,10145
DACIA,DUSTER PRESTIGE SCE,5697
DACIA,DUSTER PRESTIGE TCE,5747
DACIA,LODGY,163003
DACIA,LOGAN,324966
DACIA,SANDERO,1167801
DACIA,SANDERO ESSENTIAL SCE,7341
DACIA,SANDERO STEPWAY COMFORT,10879
DACIA,SANDERO STEPWAY ESSENTIAL,8986
DS,3,60555
DS,3 CROSSBACK,33821
DS,4,22100
DS,5,10610
DS,7 CROSSBACK,99186
DS,DS3 CROSSBACK,8408
FIAT,124 SPIDER,15648
FIAT,500,742648
FIAT,500 ABARTH,24887
FIAT,500 LOUNGE,51824
FIAT,500 LOUNGE S-A,6523
FIAT,500 POP,5899
FIAT,500 S,7595
FIAT,500C,21131
FIAT,500L,216149
FIAT,500X,448974
FIAT,500X CITY CROSS,5503
FIAT,ABARTH 124 SPIDER,5114
FIAT,ABARTH 500,44655
FIAT,DOBLO,20381
FIAT,DOBLO',14140
FIAT,DUCATO,10120
FIAT,PANDA,902703
FIAT,PUNTO,77159
FIAT,QUBO,41314
FIAT,TALENTO,30460
FIAT,TIPO,479283
FORD,B-MAX,31500
FORD,C-MAX,120575
FORD,C-MAX TITANIUM TURBO,5696
FORD,ECOSPORT,410739
FORD,ECOSPORT ST-LINE,38506
FORD,ECOSPORT ST-LINE AUTO,9616
FORD,ECOSPORT TITANIUM,30204
FORD,ECOSPORT TITANIUM AUTO,14415
FORD,ECOSPORT ZETEC,9028
FORD,EDGE,36026
FORD,FIESTA,826780
FORD,FIESTA ACTIVE 1,15328
FORD,FIESTA ACTIVE X,13055
FORD,FIESTA ST-2 TURBO,8088
FORD,FIESTA ST-3 TURBO,11031
FORD,FIESTA ST-LINE EDITION,10705
FORD,FIESTA ST-LINE TURBO,66343
FORD,FIESTA ST-LINE X,19326
FORD,FIESTA TITANIUM TURBO,70485
FORD,FIESTA TITANIUM X,11179
FORD,FIESTA TREND,15940
FORD,FIESTA TREND TURBO,6366
FORD,FIESTA VIGNALE TURBO,12893
FORD,FIESTA ZETEC,57325
FORD,FIESTA ZETEC TURBO,62662
FORD,FOCUS,811508
